Threads	Scale	NumSpheres	Timesteps	Total Time	Total Collisions	Wall Collisions	Sphere Collisions	Total Checks	Avg. Checks per Timestep	Avg. Timesteps per Second	Avg. Milliseconds per Timestep	Time Dilation	Total Threads
4	2	16	1920	0.0677128	1303	1170	133	414720	216	28355.1	0.0352671	443.048	4	
4	2	32	1920	0.0610917	3064	2498	566	1320960	688	31428.2	0.0318186	491.065	4	
4	2	64	1920	0.141999	7832	5655	2177	4608000	2400	13521.2	0.0739578	211.269	4	
4	2	128	1920	0.347355	24444	12813	11631	17080320	8896	5527.49	0.180914	86.3671	4	
4	2	256	1920	0.719583	115884	40743	75141	65617920	34176	2668.21	0.374783	41.6908	4	
4	2	512	1920	2.3122	484099	107535	376564	257064960	133888	830.378	1.20427	12.9747	4	
4	2	1024	1920	9.04284	1802075	274238	1527837	1017446400	529920	212.323	4.70981	3.31754	4	
4	2	2048	1920	34.6984	7324800	774438	6550362	4048158720	2.10842e+06	55.334	18.0721	0.864593	4	
4	4	1	1920	0.0469804	37	37	0	11520	6	40868.1	0.024469	638.564	4	
4	4	2	1920	0.0462386	78	78	0	24960	13	41523.8	0.0240826	648.809	4	
4	4	4	1920	0.0491584	218	218	0	57600	30	39057.4	0.0256033	610.273	4	
4	4	8	1920	0.0504956	370	364	6	145920	76	38023.1	0.0262998	594.111	4	
4	4	16	1920	0.052723	765	736	29	414720	216	36416.7	0.0274599	569.011	4	
4	4	32	1920	0.0612697	1429	1334	95	1320960	688	31336.9	0.0319113	489.639	4	
4	4	64	1920	0.136404	3384	3042	342	4608000	2400	14075.9	0.0710436	219.935	4	
4	4	128	1920	0.43145	7429	5975	1454	17080320	8896	4450.11	0.224713	69.533	4	
4	4	256	1920	1.20352	19993	13798	6195	65617920	34176	1595.32	0.626832	24.9269	4	
4	4	512	1920	2.28892	69170	35775	33395	257064960	133888	838.824	1.19215	13.1066	4	
4	4	1024	1920	8.31393	312621	101897	210724	1017446400	529920	230.938	4.33017	3.6084	4	
4	4	2048	1920	35.3162	1496922	288501	1208421	4048158720	2.10842e+06	54.366	18.3939	0.849468	4	
4	8	1	1920	0.0469485	20	20	0	11520	6	40895.9	0.0244523	638.998	4	
4	8	2	1920	0.0419021	46	46	0	24960	13	45821.1	0.021824	715.954	4	
4	8	4	1920	0.0471845	148	148	0	57600	30	40691.4	0.0245752	635.803	4	
4	8	8	1920	0.0536292	243	241	2	145920	76	35801.4	0.0279319	559.396	4	
4	8	16	1920	0.0483869	429	425	4	414720	216	39680.2	0.0252015	620.003	4	
4	8	32	1920	0.0548682	937	917	20	1320960	688	34992.9	0.0285772	546.764	4	
4	8	64	1920	0.127135	1867	1814	53	4608000	2400	15102.1	0.0662161	235.97	4	
4	8	128	1920	0.350071	4012	3754	258	17080320	8896	5484.61	0.182328	85.697	4	
4	8	256	1920	1.12478	8099	7286	813	65617920	34176	1707	0.585824	26.6718	4	
4	8	512	1920	2.72301	18569	14793	3776	257064960	133888	705.102	1.41823	11.0172	4	
4	8	1024	1920	8.35647	47249	32542	14707	1017446400	529920	229.762	4.35233	3.59003	4	
4	8	2048	1920	33.7586	151083	78309	72774	4048158720	2.10842e+06	56.8744	17.5826	0.888663	4	
4	16	1	1920	0.0631082	11	11	0	11520	6	30423.9	0.0328689	475.374	4	
4	16	2	1920	0.0532139	27	27	0	24960	13	36080.8	0.0277156	563.762	4	
4	16	4	1920	0.04878	105	105	0	57600	30	39360.4	0.0254062	615.006	4	
4	16	8	1920	0.0531418	172	170	2	145920	76	36129.7	0.027678	564.527	4	
4	16	16	1920	0.0479128	284	282	2	414720	216	40072.8	0.0249546	626.137	4	
4	16	32	1920	0.0562759	573	570	3	1320960	688	34117.7	0.0293103	533.088	4	
4	16	64	1920	0.121351	1124	1115	9	4608000	2400	15821.9	0.0632036	247.217	4	
4	16	128	1920	0.394195	2216	2168	48	17080320	8896	4870.69	0.20531	76.1045	4	
4	16	256	1920	0.718486	4814	4670	144	65617920	34176	2672.29	0.374211	41.7545	4	
4	16	512	1920	2.66109	9672	9068	604	257064960	133888	721.508	1.38599	11.2736	4	
4	16	1024	1920	8.89794	20583	18412	2171	1017446400	529920	215.78	4.63434	3.37157	4	
4	16	2048	1920	32.9093	48635	39062	9573	4048158720	2.10842e+06	58.3422	17.1402	0.911597	4	
4	32	1	1920	0.0406417	6	6	0	11520	6	47242.1	0.0211675	738.158	4	
4	32	2	1920	0.0502842	15	15	0	24960	13	38182.9	0.0261897	596.608	4	
4	32	4	1920	0.0479436	69	69	0	57600	30	40047	0.0249706	625.735	4	
4	32	8	1920	0.0648826	108	108	0	145920	76	29591.9	0.033793	462.374	4	
4	32	16	1920	0.0886645	178	178	0	414720	216	21654.7	0.0461794	338.354	4	
4	32	32	1920	0.0693668	361	361	0	1320960	688	27678.9	0.0361286	432.483	4	
4	32	64	1920	0.139157	697	697	0	4608000	2400	13797.4	0.0724776	215.584	4	
4	32	128	1920	0.416805	1404	1399	5	17080320	8896	4606.47	0.217086	71.9761	4	
4	32	256	1920	0.800285	2927	2910	17	65617920	34176	2399.14	0.416815	37.4866	4	
4	32	512	1920	2.40281	5913	5829	84	257064960	133888	799.065	1.25146	12.4854	4	
4	32	1024	1920	8.18815	11933	11607	326	1017446400	529920	234.485	4.26466	3.66383	4	
4	32	2048	1920	34.8118	25422	24033	1389	4048158720	2.10842e+06	55.1538	18.1311	0.861778	4	
4	64	1	1920	0.0570588	5	5	0	11520	6	33649.5	0.0297181	525.774	4	
4	64	2	1920	0.0393196	10	10	0	24960	13	48830.6	0.020479	762.977	4	
4	64	4	1920	0.0555023	47	47	0	57600	30	34593.2	0.0289074	540.518	4	
4	64	8	1920	0.0509415	72	72	0	145920	76	37690.3	0.0265321	588.91	4	
4	64	16	1920	0.0514658	112	112	0	414720	216	37306.4	0.0268051	582.912	4	
4	64	32	1920	0.0882163	233	233	0	1320960	688	21764.7	0.045946	340.073	4	
4	64	64	1920	0.090039	444	444	0	4608000	2400	21324.1	0.0468953	333.189	4	
4	64	128	1920	0.163802	879	878	1	17080320	8896	11721.4	0.0853137	183.148	4	
4	64	256	1920	0.728369	1878	1874	4	65617920	34176	2636.03	0.379359	41.1879	4	
4	64	512	1920	2.27849	3639	3623	16	257064960	133888	842.663	1.18671	13.1666	4	
4	64	1024	1920	8.52972	7401	7350	51	1017446400	529920	225.095	4.44256	3.51711	4	
4	64	2048	1920	34.2562	15145	14954	191	4048158720	2.10842e+06	56.0483	17.8417	0.875755	4	
4	128	1	1920	0.0374763	2	2	0	11520	6	51232.4	0.0195189	800.506	4	
4	128	2	1920	0.046353	5	5	0	24960	13	41421.3	0.0241422	647.207	4	
4	128	4	1920	0.0322738	30	30	0	57600	30	59490.9	0.0168093	929.545	4	
4	128	8	1920	0.0560245	45	45	0	145920	76	34270.7	0.0291794	535.48	4	
4	128	16	1920	0.0468726	71	71	0	414720	216	40962.1	0.0244128	640.033	4	
4	128	32	1920	0.0524134	150	150	0	1320960	688	36631.9	0.0272986	572.373	4	
4	128	64	1920	0.120371	285	285	0	4608000	2400	15950.7	0.0626932	249.23	4	
4	128	128	1920	0.412642	549	548	1	17080320	8896	4652.94	0.214918	72.7022	4	
4	128	256	1920	1.29438	1206	1204	2	65617920	34176	1483.34	0.674156	23.1771	4	
4	128	512	1920	2.24419	2340	2337	3	257064960	133888	855.543	1.16885	13.3679	4	
4	128	1024	1920	8.77268	4734	4726	8	1017446400	529920	218.861	4.5691	3.41971	4	
4	128	2048	1920	34.484	9539	9520	19	4048158720	2.10842e+06	55.678	17.9604	0.869969	4	
8	1	1	1920	0.0658321	121	121	0	11520	6	29165.1	0.0342875	455.705	8	
8	1	2	1920	0.102889	293	284	9	24960	13	18661	0.0535878	291.577	8	
8	1	4	1920	0.102553	548	528	20	57600	30	18722.1	0.0534129	292.532	8	
8	1	8	1920	0.103719	1178	1024	154	145920	76	18511.5	0.0540204	289.243	8	
